iter	Logloss
0	0.6667996332
1	0.6440190384
2	0.622566014
3	0.6033141006
4	0.5866344823
5	0.5718768267
6	0.5581598764
7	0.5462144697
8	0.5350095111
9	0.5254753422
10	0.5165040917
11	0.5084299566
12	0.5014407401
13	0.4966755868
14	0.490665208
15	0.4856356758
16	0.4810475775
17	0.4761594558
18	0.4723889932
19	0.4685914594
20	0.4654568912
21	0.4626507192
22	0.4609580296
23	0.4580637419
24	0.4549956326
25	0.4526707886
26	0.4498166273
27	0.4483690184
28	0.4459253622
29	0.4436026958
30	0.4415920069
31	0.439454904
32	0.4374194881
33	0.4357366779
34	0.4339339808
35	0.4329826307
36	0.4320792585
37	0.4307709496
38	0.4297523466
39	0.4286962098
40	0.4276781823
41	0.4266523933
42	0.4252746748
43	0.4243238938
44	0.423002133
45	0.4224374677
46	0.42133359
47	0.4206859101
48	0.4197029393
49	0.4190353112
50	0.4181993272
51	0.4173816518
52	0.4163790529
53	0.4154752954
54	0.4150667233
55	0.414558888
56	0.4137548863
57	0.4131686279
58	0.4127554252
59	0.4119456146
60	0.4115043417
61	0.4108273656
62	0.4102906622
63	0.4099178797
64	0.4094319693
65	0.4088665986
66	0.4083742918
67	0.4078600587
68	0.4070030802
69	0.4067638885
70	0.4063722038
71	0.4057047503
72	0.4051703711
73	0.4046716057
74	0.404303138
75	0.4039499843
76	0.4035871628
77	0.4031886307
78	0.4027282295
79	0.4024486606
80	0.4022870134
81	0.4019269983
82	0.4015601582
83	0.4011953544
84	0.4009032648
85	0.4005730377
86	0.4001029142
87	0.3998549767
88	0.3992287021
89	0.3987779924
90	0.3982885152
91	0.3981572944
92	0.3979344803
93	0.3974613297
94	0.3971286296
95	0.3969259764
96	0.3967134733
97	0.3963555264
98	0.3960874452
99	0.39590139
100	0.3955246254
101	0.3952761866
102	0.3951428216
103	0.3949985288
104	0.3946953912
105	0.3944327737
106	0.3941695308
107	0.394081012
108	0.3940108374
109	0.3936696156
110	0.3933933965
111	0.3933480513
112	0.3928795162
113	0.3926795747
114	0.3925167084
115	0.3923232653
116	0.392163728
117	0.3919422524
118	0.3917692739
119	0.3915703555
120	0.3911665275
121	0.3909864854
122	0.3906499261
123	0.3905173853
124	0.3901878275
125	0.3898289312
126	0.3896129072
127	0.389496586
128	0.3892280156
129	0.3888767281
130	0.3888331268
131	0.3886920714
132	0.3885122771
133	0.3882716742
134	0.3881881851
135	0.387865868
136	0.3877140277
137	0.3875424606
138	0.3874271816
139	0.3873917815
140	0.3873520604
141	0.3872271355
142	0.387172987
143	0.3871218051
144	0.3868306933
145	0.3866548859
146	0.3865288674
147	0.3862990877
148	0.3861524466
149	0.3860607212
150	0.3860116457
151	0.3857043867
152	0.3855793234
153	0.3853118996
154	0.3852763199
155	0.3850262873
156	0.3848186577
157	0.3846873047
158	0.3843760071
159	0.384252678
160	0.3841424329
161	0.3840496108
162	0.3837561557
163	0.3837560545
164	0.3837114768
165	0.3835091985
166	0.3834254228
167	0.3832871921
168	0.3831371895
169	0.3829459658
170	0.3827706725
171	0.3825587677
172	0.3825587274
173	0.382418929
174	0.3822674198
175	0.3822365188
176	0.3821556216
177	0.3820988759
178	0.3820673308
179	0.3820673122
180	0.3817592675
181	0.3817592541
182	0.38171922
183	0.3814281804
184	0.3812796926
185	0.3811520601
186	0.3811081945
187	0.3810776577
188	0.3809410154
189	0.3809025125
190	0.380766411
191	0.3806482141
192	0.3806482131
193	0.3805330008
194	0.3805330002
195	0.380421867
196	0.3802417381
197	0.3799353233
198	0.3798756733
199	0.3798042731
200	0.3795286398
201	0.3794673894
202	0.3793874706
203	0.3793365442
204	0.3793314011
205	0.379258628
206	0.3791426392
207	0.3790324709
208	0.3790324657
209	0.3789478207
210	0.3789478159
211	0.3788694235
212	0.3787278891
213	0.3787278832
214	0.3787278775
215	0.3785251781
216	0.3785251727
217	0.3785251676
218	0.3784356942
219	0.3784240879
220	0.3784055265
221	0.3782533863
222	0.3781310027
223	0.3780954144
224	0.3780954062
225	0.3779357315
226	0.3777897746
227	0.3777436245
228	0.3775990082
229	0.3773168244
230	0.3771961202
231	0.3771127071
232	0.3771126915
233	0.3770548641
234	0.3768053827
235	0.3767770335
236	0.3767161614
237	0.376526485
238	0.3763804318
239	0.3762463215
240	0.3761782374
241	0.3760640472
242	0.3760593985
243	0.3759099856
244	0.375806
245	0.3757366826
246	0.375563376
247	0.3755349055
248	0.3752762403
249	0.3751816375
250	0.3750194982
251	0.3749109234
252	0.3747527105
253	0.3746497363
254	0.3745805438
255	0.3745162292
256	0.3745097614
257	0.3745097215
258	0.3745049878
259	0.3745049516
260	0.3744813772
261	0.3744005044
262	0.3743728257
263	0.3743721586
264	0.3743721296
265	0.3742876763
266	0.3741590152
267	0.3740844252
268	0.3740576368
269	0.3738981926
270	0.3735866838
271	0.3735754711
272	0.3733561107
273	0.3733296872
274	0.3733259256
275	0.3732230264
276	0.3731527057
277	0.3729967551
278	0.3728701747
279	0.3728198636
280	0.3726068941
281	0.3724648008
282	0.3724647547
283	0.3724204344
284	0.3722848778
285	0.3722642214
286	0.3722264283
287	0.3720503101
288	0.3720502663
289	0.3719076695
290	0.3718007796
291	0.3717974802
292	0.3716207246
293	0.371556094
294	0.3715103281
295	0.3714467784
296	0.3713385529
297	0.3713003845
298	0.371189904
299	0.3711011496
300	0.370972781
301	0.3709457863
302	0.3706932919
303	0.3705602397
304	0.3705208731
305	0.3703605917
306	0.3702934521
307	0.3701986655
308	0.370120708
309	0.3701178726
310	0.3699832154
311	0.369983171
312	0.3698887456
313	0.369851797
314	0.3698005479
315	0.3696468616
316	0.3695634786
317	0.3693991511
318	0.3692949294
319	0.3692177731
320	0.3691986969
321	0.3690849621
322	0.3690533595
323	0.3690174854
324	0.3688651478
325	0.3687629995
326	0.3687317937
327	0.3686878927
328	0.3686564984
329	0.3685239782
330	0.3685210025
331	0.3684402416
332	0.3682732997
333	0.3682135543
334	0.3678657011
335	0.367850023
336	0.367640635
337	0.367586648
338	0.3675860139
339	0.3675415788
340	0.3674144983
341	0.3674144514
342	0.3673632449
343	0.3672077999
344	0.3671684865
