iter	Passed	Remaining
187	6559	28332
188	6595	28300
189	6625	28243
190	6665	28233
191	6701	28200
192	6721	28104
193	6753	28056
194	6772	27960
195	6804	27913
196	6847	27912
197	6892	27919
198	6933	27907
199	6982	27931
200	7034	27961
201	7071	27935
202	7102	27885
203	7152	27908
204	7172	27814
205	7213	27803
206	7251	27778
207	7289	27756
208	7302	27637
209	7338	27605
210	7351	27490
211	7376	27419
212	7405	27361
213	7418	27245
214	7430	27129
215	7466	27099
216	7482	26998
217	7501	26909
218	7533	26866
219	7564	26819
220	7581	26722
221	7623	26716
222	7646	26641
223	7671	26577
224	7698	26516
225	7736	26494
226	7783	26504
227	7814	26458
228	7854	26444
229	7899	26446
230	7939	26429
231	7981	26420
232	8002	26342
233	8037	26310
234	8072	26279
235	8101	26225
236	8136	26194
237	8175	26174
238	8213	26153
239	8253	26137
240	8284	26090
241	8323	26071
242	8345	25997
243	8379	25962
244	8414	25929
245	8452	25908
246	8491	25885
247	8513	25815
248	8555	25802
249	8591	25775
250	8629	25749
251	8670	25735
252	8707	25709
253	8755	25714
254	8808	25734
255	8840	25692
256	8870	25645
257	8896	25586
258	8915	25506
259	8940	25445
260	8964	25382
261	9006	25369
262	9039	25331
263	9061	25261
264	9082	25191
265	9112	25144
266	9154	25131
267	9196	25119
268	9240	25110
269	9278	25087
270	9321	25074
271	9347	25017
272	9392	25013
273	9416	24949
274	9438	24883
275	9480	24868
276	9518	24845
277	9558	24825
278	9589	24780
279	9628	24758
280	9700	24819
281	9744	24811
282	9758	24723
283	9788	24679
284	9810	24612
285	9833	24550
286	9867	24515
287	9904	24485
288	9924	24415
289	9955	24374
290	10020	24413
291	10039	24342
292	10075	24313
293	10098	24251
294	10153	24265
295	10190	24237
296	10228	24210
297	10251	24149
298	10278	24097
299	10315	24068
300	10356	24051
301	10385	24004
302	10421	23973
303	10451	23927
304	10488	23901
305	10527	23875
306	10557	23832
307	10585	23783
308	10625	23761
309	10641	23684
310	10679	23660
311	10693	23580
312	10729	23549
313	10763	23514
314	10814	23517
315	10861	23509
316	10900	23486
317	10942	23468
318	10980	23441
319	11011	23399
320	11036	23344
321	11076	23321
322	11092	23248
323	11115	23192
324	11203	23268
325	11247	23254
326	11291	23238
327	11333	23219
328	11371	23193
329	11408	23162
330	11422	23086
331	11459	23056
332	11503	23041
333	11551	23033
334	11605	23037
335	11640	23003
336	11681	22982
337	11725	22964
338	11747	22906
339	11767	22842
340	11806	22816
341	11826	22754
342	11857	22713
343	11892	22678
344	11931	22652
345	11954	22595
346	11987	22557
347	12025	22530
348	12065	22505
349	12103	22477
350	12143	22452
351	12175	22414
352	12217	22392
353	12254	22363
354	12293	22335
355	12333	22311
356	12373	22286
357	12407	22250
358	12423	22183
359	12459	22149
360	12495	22118
361	12537	22096
362	12578	22072
363	12600	22016
364	12630	21974
365	12688	21979
366	12705	21914
367	12746	21890
368	12767	21832
369	12804	21802
370	12844	21776
371	12882	21747
372	12919	21716
373	12953	21682
374	12991	21652
375	13032	21627
376	13074	21605
377	13112	21576
378	13127	21509
379	13164	21478
380	13203	21450
381	13242	21423
382	13283	21399
383	13324	21374
384	13364	21348
385	13398	21312
386	13437	21284
387	13477	21258
388	13499	21204
389	13535	21170
390	13574	21143
391	13614	21116
392	13655	21091
393	13694	21062
394	13732	21033
395	13772	21005
396	13819	20991
397	13867	20975
398	13909	20951
399	13957	20936
400	13994	20904
401	14041	20887
402	14092	20875
403	14141	20862
404	14189	20846
405	14238	20831
406	14286	20815
407	14331	20794
408	14379	20778
409	14477	20833
410	14528	20821
411	14570	20795
412	14610	20765
413	14649	20735
414	14689	20707
415	14730	20679
416	14770	20650
417	14811	20623
418	14860	20605
419	14914	20595
420	14993	20620
421	15032	20589
422	15073	20561
423	15116	20536
424	15159	20510
425	15200	20481
426	15251	20465
427	15290	20435
428	15337	20414
429	15384	20394
430	15436	20379
431	15476	20348
432	15537	20346
433	15583	20322
434	15622	20291
435	15663	20261
436	15705	20233
437	15744	20201
438	15782	20168
439	15821	20136
440	15861	20105
441	15903	20076
442	15944	20047
443	15983	20015
444	16019	19979
445	16058	19946
446	16095	19911
447	16137	19883
448	16177	19852
449	16215	19818
450	16252	19784
451	16288	19748
452	16329	19717
453	16368	19685
454	16406	19652
455	16461	19638
456	16505	19611
457	16544	19579
458	16583	19546
459	16629	19521
460	16669	19490
461	16711	19460
462	16753	19431
463	16790	19396
464	16830	19363
465	16868	19330
466	16906	19295
467	16942	19259
468	16981	19226
469	17019	19192
470	17069	19171
471	17110	19140
472	17151	19109
473	17191	19077
474	17228	19042
475	17268	19010
476	17307	18976
477	17347	18943
478	17388	18913
479	17428	18880
480	17467	18847
481	17501	18808
482	17543	18778
483	17585	18747
484	17622	18712
485	17661	18678
486	17700	18645
487	17741	18614
488	17780	18580
489	17817	18544
490	17857	18512
491	17896	18478
492	17953	18463
493	18019	18456
494	18059	18424
495	18099	18391
496	18139	18358
497	18176	18322
498	18235	18308
499	18281	18281
500	18326	18253
501	18367	18221
502	18409	18189
503	18446	18153
504	18489	18123
505	18529	18089
506	18569	18057
507	18609	18023
508	18648	17989
509	18719	17985
510	18803	17993
511	18879	17994
512	18955	17994
513	18995	17961
514	19036	17927
515	19079	17896
516	19124	17866
517	19165	17833
518	19203	17797
519	19241	17761
520	19284	17730
521	19325	17696
522	19360	17657
523	19397	17620
524	19436	17585
525	19473	17548
526	19510	17510
527	19551	17477
528	19588	17441
529	19627	17405
530	19663	17367
531	19700	17330
532	19775	17326
533	19815	17292
534	19855	17257
535	19891	17219
536	19957	17207
537	20013	17186
538	20057	17155
539	20107	17128
540	20149	17095
541	20187	17058
542	20227	17023
543	20263	16985
544	20302	16949
545	20340	16913
546	20379	16877
547	20423	16845
548	20470	16816
549	20510	16781
550	20551	16746
551	20588	16709
552	20622	16669
553	20660	16632
554	20702	16599
555	20744	16565
556	20782	16529
557	20822	16493
558	20858	16455
559	20909	16429
560	20954	16397
561	20995	16363
562	21035	16327
563	21075	16292
564	21109	16252
565	21147	16215
566	21184	16178
567	21217	16137
568	21253	16098
569	21288	16060
570	21320	16018
571	21373	15992
572	21415	15958
573	21454	15922
574	21495	15887
575	21531	15849
576	21569	15812
577	21607	15775
578	21647	15740
579	21685	15703
580	21725	15667
581	21762	15630
582	21798	15591
583	21835	15553
584	21876	15519
585	21917	15484
586	21956	15448
587	21992	15409
588	22030	15373
589	22067	15335
590	22106	15298
591	22142	15260
592	22201	15237
593	22239	15200
594	22277	15164
595	22317	15127
596	22352	15089
597	22390	15052
598	22428	15014
599	22463	14975
600	22498	14936
601	22536	14899
602	22572	14861
603	22610	14823
604	22645	14785
605	22682	14747
606	22722	14711
607	22757	14672
608	22792	14633
609	22825	14593
610	22863	14556
611	22898	14517
612	22940	14482
613	22975	14443
614	23014	14407
615	23051	14369
616	23091	14334
617	23130	14297
618	23169	14261
619	23207	14223
620	23245	14186
621	23282	14149
622	23315	14109
623	23353	14071
624	23390	14034
625	23429	13997
626	23464	13958
627	23499	13919
628	23536	13882
629	23574	13845
630	23608	13806
631	23648	13769
632	23686	13733
633	23726	13697
634	23765	13660
635	23806	13625
636	23845	13588
637	23884	13552
638	23922	13514
639	23958	13476
640	24006	13445
641	24043	13407
642	24077	13367
643	24111	13328
644	24148	13290
645	24183	13252
646	24218	13213
647	24251	13173
648	24286	13134
649	24324	13097
650	24371	13065
651	24419	13033
652	24465	13000
653	24513	12968
654	24553	12932
655	24593	12896
656	24634	12860
657	24719	12848
658	24807	12836
659	24921	12838
660	25009	12826
661	25051	12790
662	25087	12751
663	25128	12715
664	25166	12677
665	25206	12640
666	25243	12603
667	25282	12565
668	25318	12526
669	25361	12491
670	25398	12453
671	25437	12415
672	25471	12376
673	25510	12338
674	25546	12300
675	25577	12259
676	25615	12221
677	25650	12182
678	25689	12144
679	25727	12107
680	25768	12070
681	25852	12054
682	25941	12040
683	25984	12004
684	26023	11966
685	26059	11928
686	26096	11889
687	26134	11851
688	26169	11812
689	26209	11775
690	26246	11737
691	26295	11703
692	26383	11687
693	26455	11664
694	26517	11637
695	26557	11599
696	26596	11561
697	26636	11524
698	26674	11486
699	26713	11448
700	26770	11418
701	26863	11403
702	26936	11380
703	26977	11342
704	27014	11303
705	27049	11264
706	27086	11225
707	27124	11187
708	27162	11148
709	27201	11110
710	27238	11071
711	27278	11034
712	27315	10995
713	27356	10957
714	27391	10918
715	27430	10880
716	27467	10841
717	27543	10818
718	27631	10798
719	27699	10771
720	27742	10735
721	27786	10698
722	27823	10660
723	27862	10621
724	27900	10583
725	27939	10544
726	27977	10505
727	28017	10468
728	28055	10429
729	28100	10393
730	28141	10355
731	28188	10320
732	28230	10283
733	28276	10247
734	28318	10210
735	28360	10172
736	28402	10135
737	28448	10099
738	28484	10060
739	28525	10022
740	28561	9983
741	28596	9943
742	28630	9903
743	28670	9865
744	28706	9825
745	28743	9786
746	28782	9748
747	28819	9709
748	28857	9670
749	28897	9632
750	28937	9594
751	28975	9555
752	29014	9517
753	29058	9480
754	29099	9442
755	29138	9404
756	29177	9366
757	29215	9327
758	29252	9288
759	29289	9249
760	29349	9217
761	29386	9178
762	29424	9139
763	29464	9101
764	29503	9063
765	29541	9024
766	29582	8986
767	29620	8947
768	29672	8913
769	29712	8875
770	29751	8836
771	29814	8805
772	29890	8777
773	29950	8745
774	29991	8707
775	30027	8667
776	30066	8628
777	30123	8595
778	30167	8558
779	30205	8519
780	30245	8481
781	30285	8442
782	30321	8403
783	30364	8365
784	30404	8327
785	30444	8288
786	30485	8250
787	30526	8212
788	30565	8174
789	30603	8135
790	30645	8097
791	30684	8058
792	30723	8019
793	30760	7980
794	30798	7941
795	30838	7903
796	30898	7870
797	30938	7831
798	30980	7793
799	31017	7754
800	31057	7715
801	31096	7677
802	31134	7638
803	31173	7599
804	31207	7559
805	31246	7520
806	31281	7481
807	31316	7441
808	31350	7401
809	31388	7362
810	31439	7326
811	31482	7288
812	31523	7250
813	31562	7212
814	31609	7175
815	31646	7135
816	31686	7097
817	31726	7058
818	31766	7020
819	31805	6981
820	31847	6943
821	31886	6904
822	31925	6866
823	31967	6828
824	32007	6789
825	32042	6749
826	32080	6710
827	32121	6672
828	32163	6634
829	32202	6595
830	32242	6557
831	32279	6518
832	32321	6479
833	32358	6440
834	32396	6401
835	32433	6362
836	32471	6323
837	32510	6284
838	32559	6248
839	32592	6208
840	32629	6168
841	32669	6130
842	32708	6091
843	32747	6052
844	32781	6013
845	32821	5974
846	32859	5935
847	32903	5897
848	32941	5858
849	32980	5820
850	33019	5781
851	33062	5743
852	33102	5704
853	33142	5666
854	33179	5626
855	33218	5588
856	33261	5549
857	33299	5511
858	33339	5472
859	33377	5433
860	33417	5395
861	33456	5356
862	33492	5316
863	33530	5278
864	33567	5238
865	33614	5201
866	33653	5162
867	33692	5123
868	33731	5085
869	33767	5045
870	33801	5006
871	33839	4967
872	33877	4928
873	33917	4889
874	33955	4850
875	33992	4811
876	34029	4772
877	34065	4733
878	34102	4694
879	34142	4655
880	34176	4616
881	34214	4577
882	34248	4538
883	34286	4499
884	34330	4461
885	34369	4422
886	34407	4383
887	34447	4344
888	34487	4306
889	34531	4267
890	34571	4229
891	34607	4190
892	34643	4150
893	34691	4113
894	34730	4074
895	34772	4036
896	34826	3999
897	34877	3961
898	34917	3922
899	34957	3884
900	34996	3845
901	35043	3807
902	35083	3768
903	35123	3729
904	35170	3691
905	35219	3654
906	35265	3616
907	35314	3578
908	35362	3540
909	35452	3506
910	35495	3467
911	35560	3431
912	35601	3392
913	35653	3354
914	35695	3315
915	35760	3279
916	35800	3240
917	35842	3201
918	35887	3163
919	35929	3124
920	35969	3085
921	36006	3046
922	36054	3007
923	36093	2968
924	36131	2929
925	36172	2890
926	36215	2851
927	36253	2812
928	36288	2773
929	36322	2733
930	36362	2694
931	36398	2655
932	36438	2616
933	36478	2577
934	36520	2538
935	36561	2499
936	36604	2461
937	36645	2422
938	36689	2383
939	36727	2344
940	36769	2305
941	36810	2266
942	36848	2227
943	36888	2188
944	36927	2149
945	36970	2110
946	37008	2071
947	37052	2032
948	37089	1993
949	37134	1954
950	37173	1915
951	37215	1876
952	37252	1837
953	37296	1798
954	37334	1759
955	37376	1720
956	37412	1681
957	37454	1642
958	37489	1602
959	37531	1563
960	37569	1524
961	37614	1485
962	37652	1446
963	37697	1407
964	37735	1368
965	37771	1329
966	37816	1290
967	37856	1251
968	37897	1212
969	37936	1173
970	37985	1134
971	38026	1095
972	38066	1056
973	38104	1017
974	38143	978
975	38186	939
976	38223	899
977	38258	860
978	38296	821
979	38335	782
980	38371	743
981	38409	704
982	38445	664
983	38478	625
984	38517	586
985	38555	547
986	38589	508
987	38626	469
988	38666	430
989	38706	390
990	38743	351
991	38800	312
992	38840	273
993	38879	234
994	38935	195
995	38976	156
996	39012	117
997	39067	78
998	39106	39
999	39144	0
